Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2574,0,3,2.8710552560251767,1.6799330001049384,22.604411999964213,3114.0,14.821809722716658,0.0,3,3,3,3,4,4,5,6,15,23,23
,Aggregated,2574,0,3,2.8710552560251767,1.6799330001049384,22.604411999964213,3114.0,14.821809722716658,0.0,3,3,3,3,4,4,5,6,15,23,23
